starttime	seconds	ctime	dtime	ttime	wait
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:36 2025	1740915396	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	2	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	1
Sun Mar 02 12:36:37 2025	1740915397	0	2	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	1
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	2	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	3
Sun Mar 02 12:36:37 2025	1740915397	0	3	3	2
Sun Mar 02 12:36:36 2025	1740915396	0	3	3	2
